article_title,author,publish_date,article_link,images
Lo Toney has some ideas about how to (really) bring VC into the 21st century,Connie Loizos,"Sat, 13 Jun 2020 01:34:32 +0000",https://techcrunch.com/2020/06/12/if-you-want-to-see-more-people-of-color-in-vc-look-to-the-people-at-the-top-says-lo-toney/,
"Forget the casino, bankrupt Hertz can now sell up to $1 billion in stock",Kirsten Korosec,"Fri, 12 Jun 2020 23:17:39 +0000",https://techcrunch.com/2020/06/12/forget-the-casino-bankrupt-hertz-can-now-sell-up-to-1-billion-in-stock/,
Imaging startup Light is exiting the smartphone business,Brian Heater,"Fri, 12 Jun 2020 22:34:59 +0000",https://techcrunch.com/2020/06/12/imaging-startup-light-is-exiting-the-smartphone-business/,
3 perspectives on the future of SF and NYC as startup hubs,Natasha Mascarenhas,"Fri, 12 Jun 2020 22:26:39 +0000",https://techcrunch.com/2020/06/12/3-perspectives-on-the-future-of-sf-and-nyc-as-startup-hubs/,
"Internet Archive ends free e-book program, following publisher suit",Brian Heater,"Fri, 12 Jun 2020 20:35:13 +0000",https://techcrunch.com/2020/06/12/internet-archive-ends-free-e-book-program-following-publisher-suit/,
"‘The money is still there,’ says APX managing director Jörg Rheinboldt",Frederic Lardinois,"Fri, 12 Jun 2020 20:17:24 +0000",https://techcrunch.com/2020/06/12/the-money-is-still-there-says-apx-managing-director-jorg-rheinboldt/,
WarnerMedia tries to simplify HBO branding by sunsetting HBO Go and renaming HBO Now,Anthony Ha,"Fri, 12 Jun 2020 20:06:53 +0000",https://techcrunch.com/2020/06/12/warnermedia-tries-to-simplify-hbo-branding-by-sunsetting-hbo-go-and-renaming-hbo-now/,
NASA taps Kathy Lueders to lead its human spaceflight efforts,Darrell Etherington,"Fri, 12 Jun 2020 19:43:42 +0000",https://techcrunch.com/2020/06/12/nasa-taps-kathy-leuders-to-lead-its-human-spaceflight-efforts/,
You can help a Mars Rover’s AI learn to tell rocks from dirt,Devin Coldewey,"Fri, 12 Jun 2020 19:35:49 +0000",https://techcrunch.com/2020/06/12/you-can-help-a-mars-rovers-ai-learn-to-tell-rocks-from-dirt/,
Mark Zuckerberg and Priscilla Chan respond to Chan Zuckerberg Initiative scientists’ open letter on Trump,Darrell Etherington,"Fri, 12 Jun 2020 19:16:12 +0000",https://techcrunch.com/2020/06/12/mark-zuckerberg-and-priscilla-chan-respond-to-chan-zuckerberg-initiative-scientists-open-letter-on-trump/,
Volkswagen launches home EV charging system sales ahead of ID.3 vehicle deliveries,Kirsten Korosec,"Fri, 12 Jun 2020 18:35:51 +0000",https://techcrunch.com/2020/06/12/volkswagen-launches-home-ev-charging-system-sales-ahead-of-id-3-vehicle-deliveries/,
BLCK VC co-founder Sydney Sykes talks specific actions firms can take to be more inclusive,Jordan Crook,"Fri, 12 Jun 2020 17:37:46 +0000",https://techcrunch.com/2020/06/12/blck-vc-co-founder-sydney-sykes-talks-specific-actions-firms-can-take-to-be-more-inclusive/,
The complicated calculus of taking Facebook’s venture money,Jonathan Shieber,"Fri, 12 Jun 2020 17:13:27 +0000",https://techcrunch.com/2020/06/12/the-complicated-calculus-of-taking-facebooks-venture-money/,
Daily Crunch: Snapchat is getting mini apps,Anthony Ha,"Fri, 12 Jun 2020 17:02:11 +0000",https://techcrunch.com/2020/06/12/daily-crunch-snapchat-is-getting-mini-apps/,
Two weeks left to save on TC Early Stage passes,Alexandra Ames,"Fri, 12 Jun 2020 16:55:50 +0000",https://techcrunch.com/2020/06/12/savings-for-early-stage-sf-2020-ends-next-week/,
Snapchat looks to maintain its own friendships — with devs,Lucas Matney,"Fri, 12 Jun 2020 15:56:19 +0000",https://techcrunch.com/2020/06/12/snapchat-looks-to-maintain-its-own-friendships-with-devs/,
Facebook’s ‘Deepfake Detection Challenge’ yields promising early results,Devin Coldewey,"Fri, 12 Jun 2020 15:02:05 +0000",https://techcrunch.com/2020/06/12/facebooks-deepfake-detection-challenge-yields-promising-early-results/,
Computex 2020 is officially canceled,Brian Heater,"Fri, 12 Jun 2020 15:01:24 +0000",https://techcrunch.com/2020/06/12/computex-2020-is-officially-canceled/,
"Cue Health’s portable, fast COVID-19 test gains FDA emergency approval",Darrell Etherington,"Fri, 12 Jun 2020 14:57:40 +0000",https://techcrunch.com/2020/06/12/cue-healths-portable-fast-covid-19-test-gains-fda-emergency-approval/,
Pipo Saude raises $4.6 million to bring healthcare benefits management services to Brazil,Jonathan Shieber,"Fri, 12 Jun 2020 14:23:38 +0000",https://techcrunch.com/2020/06/12/pipo-saude-raises-4-6-million-to-bring-healthcare-benefits-management-services-to-brazil/,
